,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,CPU_time,score,well,protocol,sweep
15,0.0016855055363673523,0.08445464321942296,2.207814018884101e-05,0.05120880656941404,0.12118923302357672,0.026859748262258856,0.008855492812602712,0.028801728502018516,0.15459640886481577,653.9515004687803,2362,4590.969141063002,653.9515004687803,4,staircaseramp1,-1
16,0.0016860891310558678,0.08445449312337108,2.2102236161237914e-05,0.051194347716965266,0.12138107287831337,0.026880971981700984,0.008874293474634715,0.028797040067689402,0.1545434849809025,654.9818121839791,2437,4842.450990485,654.9818121839791,0,staircaseramp1,-1
17,0.0016880879507200726,0.08453606323644774,2.2067433388565053e-05,0.0512168687073766,0.12176338808284802,0.026915154696835315,0.008892065012025361,0.02874938771235078,0.1546780706151449,654.6967495809167,1090,2096.9460799440003,654.6967495809167,2,staircaseramp1,-1
18,0.0016860498867191814,0.08448392106581837,2.211979050345477e-05,0.051194439976151404,0.12147353253357142,0.026888309945257132,0.008874695219584562,0.028785913320133864,0.1546663444100694,656.7723974683278,1591,3505.4142747289998,656.7723974683278,3,staircaseramp1,-1
19,0.0016855484814392906,0.08448536732013859,2.210170141720114e-05,0.05120492937194097,0.12145084422996763,0.026887231130251227,0.008871862315533465,0.02878351979864758,0.15466108696755662,654.1998018897799,1719,3617.952728959,654.1998018897799,5,staircaseramp1,-1
20,0.0016152407079211366,0.07289521144541997,1.9056464433744506e-05,0.05228999949717488,0.1102559047852105,0.023168461821379386,0.008891031765024749,0.029411781044120244,0.1530022995518319,2966.618758927694,1636,7564.15855936,2966.618758927694,8,hhbrute3gstep,-1
21,0.0016141206711803653,0.07287216685694332,1.904862239980103e-05,0.052292963044793125,0.11016621066068633,0.023162525143498824,0.008885436864231424,0.029408724529217396,0.1530255769928396,2966.02714974589,1840,9577.664877627,2966.02714974589,7,hhbrute3gstep,-1
22,0.0016154274666181651,0.07287539060258438,1.9046573752069794e-05,0.05229163326681147,0.11011923092153804,0.023156886030850678,0.008881730910049642,0.029427412679931434,0.15297414467884407,2969.5961504905235,1750,7799.426549377,2969.5961504905235,6,hhbrute3gstep,-1
23,0.0016146040639159521,0.07291525192927664,1.9064288651642135e-05,0.05228592315062589,0.11019230527877703,0.02317350808493943,0.008886938319682864,0.029405701150156303,0.15301698002424596,2970.004497958215,1985,9455.091709829001,2970.004497958215,9,hhbrute3gstep,-1
24,0.001614700293601541,0.07291920832899441,1.9062782548996213e-05,0.05228679632423023,0.11008641117320891,0.023162277582094697,0.008878330751653049,0.029415344628815513,0.15301228859512098,2974.664435126679,1311,5811.540683723,2974.664435126679,1,hhbrute3gstep,-1
25,0.0016152345398600873,0.07286650217378696,1.907213034886074e-05,0.05228312947613973,0.11011861165414999,0.023165181376386356,0.008878543035531108,0.029415554178248933,0.15303078567909498,2966.552182095288,2123,8909.268222924002,2966.552182095288,4,hhbrute3gstep,-1
26,0.0016141708285723172,0.07287174253124368,1.9093483712647416e-05,0.052270615067335637,0.11009827922922788,0.023166248415412642,0.00887975662791792,0.029427825695827765,0.1529780998159306,2962.14814357511,2326,10933.822788146,2962.14814357511,0,hhbrute3gstep,-1
27,0.0016135863630894218,0.07289793390568299,1.9049576089935328e-05,0.05229159834941337,0.11022073288597986,0.023161757176048164,0.008891410684466994,0.029419000269332755,0.1529659583504305,2966.6570824099044,3586,15927.329255912,2966.6570824099044,2,hhbrute3gstep,-1
28,0.0016146664702618228,0.0728901535261351,1.905336231448684e-05,0.052287520704388246,0.11005885490721803,0.02316077251098955,0.008877926203921608,0.029424967670411164,0.1529502003330023,2963.759592950782,1077,4801.900310159,2963.759592950782,3,hhbrute3gstep,-1
29,0.0016134151869302779,0.07286074201372489,1.9079404467228324e-05,0.05227827231278317,0.1100581364953957,0.023166090942625048,0.008878932855445332,0.029417618652251936,0.1529708628961312,2972.381256537262,1410,6602.611489216,2972.381256537262,5,hhbrute3gstep,-1
30,0.0019696695455979647,0.05414127868596356,2.980233900831134e-05,0.04872916297838997,0.09611966685940032,0.023102232169660883,0.0068525926919808,0.031391659934732946,0.15789488446584546,2609.928548396635,1692,5761.610188248,2609.928548396635,8,wangbrute3gstep,-1
31,0.0019692686819625864,0.054124039864145025,2.9802218720514377e-05,0.048723291416846594,0.09609372442064698,0.023100663689928847,0.006851290132873028,0.031397136141803894,0.15783900393660913,2605.406768741242,2096,6629.330879153999,2605.406768741242,7,wangbrute3gstep,-1
32,0.001968649600603596,0.054158375084075346,2.977860065833598e-05,0.04873729964971188,0.09612093807399848,0.023103452678421604,0.006851871916513665,0.03139421922412303,0.1578911195731297,2613.0465341375143,2383,8066.882129005002,2613.0465341375143,6,wangbrute3gstep,-1
33,0.0019686596253888867,0.054142003193163535,2.9761633338548674e-05,0.04873993972723058,0.09612498836847301,0.02311185514882731,0.006855533554687306,0.03137474695677695,0.15788138954026418,2608.364162791683,1525,4960.934467936999,2608.364162791683,9,wangbrute3gstep,-1
34,0.001969360867775387,0.054176021361077006,2.9783096346028526e-05,0.048734266011669726,0.0960374982320761,0.023117089096641563,0.006843216117014341,0.031393861455849964,0.15787467268325223,2608.359364974305,2239,7106.245791830999,2608.359364974305,1,wangbrute3gstep,-1
35,0.0019688565121635344,0.054153772164148864,2.9816903611738576e-05,0.04872323071019662,0.09600573167066062,0.023113756630351787,0.006842892015668334,0.031396507412867126,0.1578594595875499,2602.461523191803,1658,5536.046586038001,2602.461523191803,4,wangbrute3gstep,-1
36,0.001969760699562031,0.054148503098612445,2.9816711187237486e-05,0.048724122263837696,0.09613804007147254,0.023123866217867176,0.006851211500660759,0.03138834114295322,0.1578649661245868,2603.0552600288233,1516,5232.467573857,2603.0552600288233,0,wangbrute3gstep,-1
37,0.0019700584666231375,0.054154438463584614,2.9801096585654203e-05,0.048728810352169874,0.09614504868299405,0.023111669676188953,0.006854030324535811,0.031385466583566446,0.1578937511739529,2603.9765397867036,1525,5336.427330969,2603.9765397867036,2,wangbrute3gstep,-1
